occur_date,location,depth,magnitude,max_seismic_scale
2011/3/12 22:24,sea,30,5,3
2011/3/12 22:27,land,0,3.6,3
2011/3/12 23:03,sea,7,5.8,3
2011/3/12 23:14,sea,11,5,3
2011/3/12 23:34,land,5,3.7,5_lower
2011/3/12 23:34,sea,22,5.6,3
2011/3/12 23:43,sea,9,5.9,4
2011/3/12 23:51,land,4,2.4,3
2011/3/12 23:54,land,5,2.3,3
2011/3/13 0:44,land,5,3.8,3
2011/3/13 1:59,sea,29,4.6,3
2011/3/13 3:09,sea,28,4.5,4
2011/3/13 3:47,land,8,3.2,3
2011/3/13 5:41,sea,41,4.7,3
2011/3/13 6:48,sea,0,5.6,3
2011/3/13 6:58,sea,14,5.4,3
2011/3/13 7:12,sea,9,6.1,3
2011/3/13 7:31,sea,24,5.4,3
2011/3/13 7:59,sea,40,4.3,3
2011/3/13 8:20,sea,3,5.3,3
2011/3/13 8:24,sea,15,6.2,5_lower
2011/3/13 8:40,sea,4,5,3
2011/3/13 9:32,sea,12,4.7,3
2011/3/13 9:41,sea,35,4.6,3
2011/3/13 10:26,sea,11,6.6,4
2011/3/13 12:09,land,25,3.6,3
2011/3/13 12:31,land,0,3.7,3
2011/3/13 12:32,land,9,3.8,4
2011/3/13 12:34,land,0,3.6,3
2011/3/13 14:55,sea,38,4.9,3
2011/3/13 14:59,sea,43,4.7,3
2011/3/13 15:19,sea,44,4.3,3
2011/3/13 16:56,sea,6,5.8,3
2011/3/13 18:25,sea,10,5.5,3
2011/3/13 18:52,sea,42,5.6,3
2011/3/13 20:37,sea,2,6.1,3
2011/3/13 20:56,sea,32,4.8,3
2011/3/13 21:44,sea,26,4.8,3
2011/3/13 22:43,sea,26,4.8,3
2011/3/13 23:27,land,6,3.6,4
2011/3/13 23:28,sea,43,4.4,3
2011/3/14 0:10,sea,36,5.1,3
2011/3/14 2:04,sea,25,4.5,3
2011/3/14 2:29,sea,32,4.8,3
2011/3/14 3:45,sea,29,4.8,3
2011/3/14 4:16,sea,13,4.9,3
2011/3/14 4:27,sea,28,4.1,3
2011/3/14 7:16,sea,36,4.4,3
2011/3/14 7:46,land,7,3.1,3
2011/3/14 8:41,sea,49,4.6,3
2011/3/14 8:42,sea,43,4.3,3
2011/3/14 8:47,land,3,3.1,3
2011/3/14 8:53,sea,35,4.9,3
2011/3/14 10:02,sea,32,6.2,5_lower
2011/3/14 11:11,sea,40,4.5,3
2011/3/14 12:10,land,0,3.5,3
2011/3/14 13:45,sea,40,4.7,3
2011/3/14 15:12,sea,7,6.5,4
2011/3/14 15:17,sea,4,5.3,4
2011/3/14 15:38,land,4,3.5,4
2011/3/14 15:43,sea,19,5.2,3
2011/3/14 15:52,sea,52,5.2,4
2011/3/14 15:56,sea,52,4.2,3
2011/3/14 16:25,sea,45,5,3
2011/3/14 18:07,sea,32,4.8,3
2011/3/14 20:06,sea,32,4.8,3
2011/3/15 0:26,sea,50,3.9,3
2011/3/15 1:11,sea,51,4.5,3
2011/3/15 3:35,sea,39,4.3,3
2011/3/15 3:41,sea,44,5.7,3
2011/3/15 4:04,sea,37,4.5,3
2011/3/15 4:28,sea,51,5,3
2011/3/15 4:29,sea,43,5.1,3
2011/3/15 4:59,sea,23,4.1,3
2011/3/15 5:40,land,9,2.9,3
2011/3/15 7:04,sea,36,4.8,3
2011/3/15 7:20,land,0,4.5,3
2011/3/15 7:29,land,9,4.3,3
2011/3/15 9:54,land,8,3.8,3
2011/3/15 10:41,land,4,2.1,3
2011/3/15 13:55,sea,49,4.5,3
2011/3/15 15:32,land,8,3.8,3
2011/3/15 15:56,land,0,4.7,3
2011/3/15 16:03,land,0,4.9,3
2011/3/15 16:48,sea,28,4.4,3
2011/3/15 18:41,sea,9,4.3,3
2011/3/15 18:49,sea,7,6.3,3
2011/3/15 19:31,land,47,4.5,3
2011/3/15 20:06,sea,15,5.2,3
2011/3/15 22:10,sea,49,4.2,3
2011/3/15 22:27,sea,10,6.2,4
2011/3/15 22:31,land,14,6.4,6_upper
2011/3/15 22:34,land,13,3.7,3
2011/3/15 22:35,land,11,4.1,3
2011/3/15 22:37,land,16,3.8,3
2011/3/15 22:37,sea,30,5.3,3
2011/3/15 22:40,land,12,3.7,3
2011/3/15 22:40,land,10,4.2,4
2011/3/15 22:43,land,11,3.9,3
2011/3/16 0:23,sea,18,6.3,3
2011/3/16 0:39,land,7,3.4,3
2011/3/16 2:14,land,7,3,3
2011/3/16 3:19,sea,49,4.1,3
2011/3/16 3:33,land,7,4,4
2011/3/16 4:01,sea,18,5.6,3
2011/3/16 4:53,sea,25,5.1,3
2011/3/16 5:27,land,5,2.9,3
2011/3/16 5:30,sea,24,5.8,3
2011/3/16 5:53,land,28,4.2,3
2011/3/16 6:04,land,0,4.8,3
2011/3/16 6:15,land,13,3.6,3
2011/3/16 8:40,land,7,3.8,3
2011/3/16 9:22,sea,46,4.3,3
2011/3/16 10:08,sea,39,4.2,3
2011/3/16 10:44,land,7,3.3,3
2011/3/16 12:52,sea,10,6.1,5_lower
2011/3/16 12:53,sea,20,4.4,3
2011/3/16 13:14,sea,25,5.6,4
2011/3/16 13:17,sea,12,4.8,3
2011/3/16 15:29,sea,41,5.7,3
2011/3/16 18:15,sea,46,4.5,3
2011/3/16 20:20,sea,35,4.9,3
2011/3/16 20:44,sea,46,4.5,3
2011/3/16 22:39,land,53,5.4,4
2011/3/16 22:54,sea,29,4.6,3
2011/3/16 23:46,sea,54,5.3,4
2011/3/17 3:56,land,6,4.4,3
2011/3/17 4:00,sea,45,4.5,3
2011/3/17 6:16,land,12,3.9,3
2011/3/17 7:05,sea,40,4.5,3
2011/3/17 8:11,land,6,3.3,3
2011/3/17 8:38,sea,22,5.5,3
2011/3/17 13:13,sea,31,5.9,4
2011/3/17 17:25,sea,17,5.4,3
2011/3/17 17:44,sea,23,4.7,3
2011/3/17 17:59,sea,29,5,3
2011/3/17 18:05,sea,31,4.8,3
2011/3/17 20:48,sea,29,4.3,3
2011/3/17 21:32,sea,28,5.7,4
2011/3/17 21:33,sea,27,4.9,3
2011/3/17 21:35,sea,45,4.9,3
2011/3/17 21:54,sea,47,5.7,4
2011/3/18 2:00,land,3,3.4,3
2011/3/18 3:38,sea,30,4.7,3
2011/3/18 6:18,sea,34,4.4,3
2011/3/18 6:24,sea,32,4.7,3
2011/3/18 9:41,sea,28,5.4,3
2011/3/18 10:50,land,5,4.2,3
2011/3/18 11:47,sea,44,5.2,3
2011/3/18 16:30,sea,49,4.5,3
2011/3/18 17:01,sea,35,5.4,4
2011/3/18 17:27,sea,11,4.4,3
2011/3/18 21:17,sea,32,4.7,3
2011/3/19 1:49,sea,11,4.4,3
2011/3/19 3:32,sea,23,5,3
2011/3/19 4:53,sea,43,5.2,3
2011/3/19 8:33,sea,37,5.7,4
2011/3/19 8:49,sea,16,5.3,4
2011/3/19 9:57,sea,48,4.1,3
2011/3/19 18:56,land,6,4,4
2011/3/19 18:56,land,5,6.1,5_upper
2011/3/20 1:38,land,5,4.1,3
2011/3/20 5:48,sea,45,4.6,3
2011/3/20 8:37,sea,51,4.7,3
2011/3/20 10:05,sea,43,4.2,3
2011/3/20 10:09,sea,19,5.2,3
2011/3/20 10:30,sea,29,5.5,4
2011/3/20 14:19,land,7,4.7,3
2011/3/20 14:55,sea,42,5.4,3
2011/3/20 21:03,sea,48,5.9,4
2011/3/21 4:54,sea,29,4.6,4
2011/3/21 4:59,land,11,4.1,3
2011/3/21 5:05,sea,52,4.4,3
2011/3/21 5:44,sea,36,3.8,3
2011/3/21 8:37,sea,14,4,3
2011/3/21 8:43,sea,15,4.4,3
2011/3/21 12:39,land,8,3.6,3
2011/3/21 13:15,land,3,4.8,3
2011/3/21 14:08,sea,49,5,3
2011/3/21 22:22,land,8,3.4,3
2011/3/21 22:49,sea,24,4.7,3
2011/3/21 23:53,land,5,4.5,3
2011/3/22 4:26,land,8,4.4,3
2011/3/22 4:29,sea,48,4.5,3
2011/3/22 6:24,sea,52,4.3,3
2011/3/22 9:33,sea,51,3.7,3
2011/3/22 12:38,sea,37,5.9,4
2011/3/22 16:18,sea,28,6.7,4
2011/3/22 17:33,sea,47,4.8,3
2011/3/22 18:19,sea,43,6.4,4
2011/3/22 18:44,sea,0,6.5,4
2011/3/22 19:18,sea,28,4.9,3
2011/3/22 21:04,sea,48,5.9,3
2011/3/22 22:50,sea,22,6,3
2011/3/23 0:03,sea,23,5.8,3
2011/3/23 0:12,sea,47,4.7,3
2011/3/23 0:49,sea,34,5.2,4
2011/3/23 1:12,sea,35,5.4,3
2011/3/23 4:07,sea,17,4.5,3
2011/3/23 7:12,land,8,6,5_upper
2011/3/23 7:21,land,8,3.6,3
2011/3/23 7:34,land,7,5.5,5_upper
2011/3/23 7:36,land,7,5.8,5_lower
2011/3/23 7:53,land,5,5.1,3
2011/3/23 8:03,land,11,4.3,3
2011/3/23 9:06,sea,33,5.1,3
2011/3/23 16:16,sea,49,4,3
2011/3/23 17:27,land,6,2.5,3
2011/3/23 18:55,land,9,4.7,5_upper
2011/3/23 19:43,sea,51,5.1,3
2011/3/23 20:16,land,11,3.5,3
2011/3/24 2:01,land,8,3.9,3
2011/3/24 4:46,land,6,3.6,3
2011/3/24 5:32,sea,45,4.7,4
2011/3/24 5:43,sea,27,5.2,3
2011/3/24 8:56,land,52,4.8,5_lower
2011/3/24 14:03,land,6,4.5,3
2011/3/24 17:20,sea,34,6.2,5_lower
2011/3/25 2:08,land,6,4.7,3
2011/3/25 3:16,sea,49,4.3,3
2011/3/25 4:44,sea,42,4.8,3
2011/3/25 17:37,land,8,3.4,3
2011/3/25 20:36,sea,45,6.3,4
2011/3/25 21:29,sea,50,4,3
2011/3/25 21:54,land,8,3.1,3
2011/3/26 1:10,sea,49,3.7,3
